ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.35000000000000003, 0.04999999999999988]",0.7522028680372101
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.4, 0.0]",0.7521903476428067
weighted__catboost__eng_no_time=0.95__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.9500000000000001, 0.0, 0.04999999999999993]",0.7521698146913516
weighted__catboost__eng_no_time=0.85__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8500000000000001, 0.0, 0.1499999999999999]",0.7521348541835362
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.30000000000000004, 0.09999999999999987]",0.7520984323438321
weighted__catboost__eng_no_time=0.65__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.65, 0.2, 0.14999999999999997]",0.7520791006567263
weighted__catboost__eng_no_time=0.75__lightgbm__eng_no_time_knn=0.05__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.75, 0.05, 0.2]",0.7519250044474646
weighted__catboost__eng_no_time=0.80__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.8, 0.0, 0.19999999999999996]",0.7519031587741432
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.4, 0.04999999999999993]",0.7518975115932847
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.25, 0.1499999999999999]",0.7518941802519448
